candidate,oof_mean,oof_std,oof_min,oof_max,wins_vs_base,delta_vs_base,wins_of_seeds
cc50_trans_k3_w60,528.7902935091939,,528.7902935091939,528.7902935091939,0,-1.4077894554552586,1
cc50_cat_w20,529.0222211011987,,529.0222211011987,529.0222211011987,0,-1.17586186345045,1
combo_ext_ic50_cc15,529.1546040802064,,529.1546040802064,529.1546040802064,0,-1.043478884442834,1
cc50_cat_w15,529.1830235561059,,529.1830235561059,529.1830235561059,0,-1.0150594085432658,1
ic50_cat_w30,529.8437284377916,,529.8437284377916,529.8437284377916,0,-0.3543545268576054,1
cluster_k3_blend,530.0392420533941,,530.0392420533941,530.0392420533941,0,-0.15884091125508348,1
si_alpha_38,530.0776136040785,,530.0776136040785,530.0776136040785,0,-0.12046936057072344,1
si_robust_w25,530.1252015174667,,530.1252015174667,530.1252015174667,0,-0.07288144718245348,1
ic50_ext_cat_w25,530.1665663356455,,530.1665663356455,530.1665663356455,0,-0.03151662900370411,1
baseline_final,530.1980829646492,,530.1980829646492,530.1980829646492,0,0.0,0
si_robust_w35,530.2717347186725,,530.2717347186725,530.2717347186725,0,0.0736517540233308,0
ic50_trans_w15,530.2920221806093,,530.2920221806093,530.2920221806093,0,0.09393921596006294,0
cluster_k5_blend,530.3057304048117,,530.3057304048117,530.3057304048117,0,0.10764744016250916,0
si_alpha_32,530.3199905643861,,530.3199905643861,530.3199905643861,0,0.12190759973691456,0
cc50_blend_w50,530.3356188842905,,530.3356188842905,530.3356188842905,0,0.13753591964132283,0
ic50_trans_w20,530.3913840405925,,530.3913840405925,530.3913840405925,0,0.19330107594328183,0
si_alpha_30,530.4020603316844,,530.4020603316844,530.4020603316844,0,0.20397736703523606,0
ic50_cat_w20,530.6295137374879,,530.6295137374879,530.6295137374879,0,0.4314307728386666,0
cc50_blend_w70,530.6424291212847,,530.6424291212847,530.6424291212847,0,0.4443461566355609,0
ic50_fr_cat_w20,530.857256483739,,530.857256483739,530.857256483739,0,0.6591735190897907,0
cc50_trans_k7_w60,534.3440990950992,,534.3440990950992,534.3440990950992,0,4.146016130449993,0
