candidate,seed,oof,rmse_ic50,rmse_cc50,rmse_si
baseline_final,42,530.1980829646492,329.66931811865504,473.2887556121688,787.636175163124
ic50_ext_cat_w25,42,530.1665663356455,330.0213222484386,473.2887556121688,787.189621146329
ic50_fr_cat_w20,42,530.857256483739,331.7765592141082,473.2887556121688,787.5064546249399
ic50_trans_w15,42,530.2920221806093,330.029024120049,473.2887556121688,787.5582868096097
ic50_trans_w20,42,530.3913840405925,330.35827279741534,473.2887556121688,787.5271237121933
cc50_cat_w15,42,529.1830235561059,329.66931811865504,470.22022804269824,787.6595245069642
cc50_cat_w20,42,529.0222211011987,329.66931811865504,469.7299953703751,787.6673498145659
cc50_trans_k3_w60,42,528.7902935091939,329.66931811865504,469.0016162101084,787.6999461988182
cc50_trans_k7_w60,42,534.3440990950992,329.66931811865504,485.6611078112933,787.7018713553492
cc50_blend_w50,42,530.3356188842905,329.66931811865504,473.6894180059389,787.6481205282778
cc50_blend_w70,42,530.6424291212847,329.66931811865504,474.63362437887145,787.6243448663279
si_alpha_30,42,530.4020603316844,329.66931811865504,473.2887556121688,788.2481072642294
si_alpha_32,42,530.3199905643861,329.66931811865504,473.2887556121688,788.0018979623346
si_alpha_38,42,530.0776136040785,329.66931811865504,473.2887556121688,787.2747670814116
si_robust_w25,42,530.1252015174667,329.66931811865504,473.2887556121688,787.4175308215763
si_robust_w35,42,530.2717347186725,329.66931811865504,473.2887556121688,787.8571304251936
cluster_k3_blend,42,530.0392420533941,329.15996504304917,473.3020510132095,787.6557101039236
cluster_k5_blend,42,530.3057304048117,329.88584588953256,473.3896157384386,787.6417295864641
ic50_cat_w20,42,530.6295137374879,331.07648301975036,473.2887556121688,787.5233025805443
ic50_cat_w30,42,529.8437284377916,328.52450194409823,473.2887556121688,787.7179277571076
combo_ext_ic50_cc15,42,529.1546040802064,330.0213222484386,470.22022804269824,787.2222619494821
