candidate,seed,oof,delta_vs_ref,rmse_ic50,rmse_cc50,rmse_si
ic50_size_cols,42,527.6613934693383,0.014772995977637038,329.66931811865504,465.60127188257377,787.7135904067865
ic50_ext_cols,42,527.6466204733607,0.0,330.0213222484386,465.60127188257377,787.3172672890697
ic50_cat_w15,42,528.5540022038325,0.9073817304717977,333.16115347170023,465.60127188257377,786.8995812572234
ic50_cat_w20,42,528.082688281574,0.4360678082132381,331.4970644578075,465.60127188257377,787.1497285043406
ic50_cat_w30,42,527.2586298425423,-0.3879906308184218,328.73646339581154,465.60127188257377,787.4381542492415
ic50_cat_w35,42,526.9253290975552,-0.7212913758055493,327.6447335549248,465.60127188257377,787.529981855167
ic50_trans_w8,42,527.728974874388,0.08235440102725988,330.3219389384589,465.60127188257377,787.2637138021313
ic50_trans_w10,42,527.7667037193482,0.12008324598753006,330.44986356322715,465.60127188257377,787.2489757122439
ic50_trans_w12,42,527.8112561647716,0.16463569141092194,330.5988534270186,465.60127188257377,787.2336431847224
ic50_trans_w15,42,527.8908347815996,0.24421430823883838,330.8617721947667,465.60127188257377,787.2094602674582
ic50_trans_w18,42,527.9856441832848,0.3390237099240494,331.17191004467725,465.60127188257377,787.183750622603
ic50_trans_w20,42,528.0572687286262,0.41064825526552795,331.4048368002337,465.60127188257377,787.1656975030712
ic50_size_trans_w10,42,527.7381138722458,0.09149339888506347,329.9416956855075,465.60127188257377,787.6713740486562
ic50_size_trans_w15,42,527.8467595365238,0.2001390631630784,330.2919683046977,465.60127188257377,787.6470384222998
ic50_ext_trans10_cat20,42,528.1649778309788,0.5183573576181288,331.821837703448,465.60127188257377,787.0718239069148
ic50_size_cols,2024,536.0032893934937,0.6416980517251432,352.4121524910427,468.8330765453228,786.7646391441157
ic50_ext_cols,2024,535.3615913417685,0.0,350.8335995993856,468.8330765453228,786.4180978805972
ic50_cat_w15,2024,536.9429234275063,1.581332085737813,355.97710750889405,468.8330765453228,786.0185862283023
ic50_cat_w20,2024,536.1330122408008,0.7714208990322504,353.30588835795214,468.8330765453228,786.2600718191276
ic50_cat_w30,2024,534.6423117823623,-0.7192795594062318,348.5644741633597,468.8330765453228,786.5293846384043
ic50_cat_w35,2024,533.9823847390635,-1.3792066027050396,346.5025034125355,468.8330765453228,786.6115742593321
ic50_trans_w8,2024,535.438634143843,0.07704280207451575,351.09726454167,468.8330765453228,786.3855613445364
ic50_trans_w10,2024,535.4764979353132,0.11490659354467425,351.2219618806316,468.8330765453228,786.3744553799854
ic50_trans_w12,2024,535.5218604403138,0.16026909854531368,351.37012867529415,468.8330765453228,786.3623761003244
ic50_trans_w15,2024,535.6039650817085,0.2423737399399215,351.6363179140389,468.8330765453228,786.3425007857636
ic50_trans_w18,2024,535.7029144864142,0.3413231446456848,351.9551259117989,468.8330765453228,786.3205410021208
ic50_trans_w20,2024,535.7782106517807,0.4166193100121518,352.1968276278322,468.8330765453228,786.3047277821871
ic50_size_trans_w10,2024,536.0698319049517,0.7082405631831534,352.6281777304158,468.8330765453228,786.7482414391163
ic50_size_trans_w15,2024,536.1721086497811,0.8105173080125496,352.9567543802783,468.8330765453228,786.726495023742
ic50_ext_trans10_cat20,2024,536.1541215733773,0.7925302316087937,353.42021098549026,468.8330765453228,786.2090771893188
ic50_size_cols,7,537.0894969823347,0.7138041190391959,349.35744580655097,474.9573118167785,786.9537333236748
ic50_ext_cols,7,536.3756928632955,0.0,347.7003107282572,474.9573118167785,786.4694560448509
ic50_cat_w15,7,538.1360109245913,1.760318061295834,353.41809870116396,474.9573118167785,786.0326222558316
ic50_cat_w20,7,537.2401889227175,0.864496059421981,350.46944018315634,474.9573118167785,786.2938147682174
ic50_cat_w30,7,535.55599230082,-0.819700562475532,345.11503187233177,474.9573118167785,786.5956332133495
ic50_cat_w35,7,534.7884822827115,-1.587210580584042,342.71776425133964,474.9573118167785,786.6903707800161
ic50_trans_w8,7,535.9668336728079,-0.40885919048764663,346.51272562817303,474.9573118167785,786.430463573472
ic50_trans_w10,7,535.8834029188076,-0.49228994448787944,346.2746019424287,474.9573118167785,786.4182949972158
ic50_trans_w12,7,535.807531697517,-0.5681611657785197,346.06009153842666,474.9573118167785,786.4051917373457
ic50_trans_w15,7,535.7079306164259,-0.6677622468696427,345.782695645538,474.9573118167785,786.383784386961
ic50_trans_w18,7,535.6254047772122,-0.7502880860832875,345.55865556172046,474.9573118167785,786.3602469531378
ic50_trans_w20,7,535.5798815590033,-0.795811304292215,345.43898990577196,474.9573118167785,786.3433429544596
ic50_size_trans_w10,7,536.5546768208104,0.1789839575149017,347.811209438846,474.9573118167785,786.8955092068068
ic50_size_trans_w15,7,536.3579726419483,-0.01772022134719009,347.25448184589357,474.9573118167785,786.8621242631729
ic50_ext_trans10_cat20,7,536.6444883373343,0.268795474038825,348.745593263002,474.9573118167785,786.2305599322227
