candidate,oof_mean,delta_mean,wins,ic50,cc50,si
ic50_w65,529.7119679424686,-1.6595880637265357,3,332.1296775999553,469.79722008155835,787.2090061458924
ic50_w60,529.9085274044038,-1.4630286017913552,3,332.7467489468605,469.79722008155835,787.1816131847927
w60_cat15,529.9085274044038,-1.4630286017913552,3,332.7467489468605,469.79722008155835,787.1816131847927
ic50_w55,530.1740431858483,-1.1975128203469012,3,333.5744687029758,469.79722008155835,787.1504407730107
w55_cat15,530.1740431858483,-1.1975128203469012,3,333.5744687029758,469.79722008155835,787.1504407730107
w50_cat15,530.5073264746821,-0.8642295315130468,3,334.6112652645705,469.79722008155835,787.1134940779175
ic50_w50,530.5073264746821,-0.8642295315130468,3,334.6112652645705,469.79722008155835,787.1134940779175
w50_tw55,530.5864974467289,-0.7850585594663168,3,334.6112652645705,470.0316768222951,787.116550253321
w50_k3_cat12,530.7157816685049,-0.6557743376902939,3,334.6112652645705,470.42484516891733,787.1112345720268
ic50_w45,530.9070438784101,-0.4645121277850042,3,335.855199910537,469.79722008155835,787.0687116431353
cc50_cat0.25,530.9573936459251,-0.41416236027005954,3,337.3039842691458,468.54462931782854,787.023567350801
w45_tw65,530.9667792075035,-0.4047767986917279,3,335.855199910537,469.97955636912343,787.0655813428501
cc50_cat0.20,531.1105113411148,-0.2610446650803245,3,337.3039842691458,469.00906537416625,787.0184843800326
w45_cat12,531.1153781402132,-0.25617786598187803,2,335.855199910537,470.42484516891733,787.0660893411856
ic50_w42,531.1780984410726,-0.19345756512260928,2,336.7000489763252,469.79722008155835,787.0370262653341
cc50_cat0.18,531.2020035788437,-0.1695524273514669,3,337.3039842691458,469.2855578433444,787.0164686240408
cc50_cat0.15,531.3715560061952,0.0,0,337.3039842691458,469.79722008155835,787.0134636678813
cc50_tw65,531.4312533757235,0.059697369528294075,0,337.3039842691458,469.97955636912343,787.0102194889013
cc50_tw55,531.4508052511146,0.0792492449193863,0,337.3039842691458,470.0316768222951,787.0167546619027
cc50_cat0.12,531.5797701878369,0.20821418164166516,0,337.3039842691458,470.42484516891733,787.0104811254474
cc50_tw70,531.6297286788093,0.258172672614099,0,337.3039842691458,470.57817964148086,787.0070221258012
cc50_k4,531.6443782520761,0.27282224588096443,1,337.3039842691458,470.6632938973773,786.9658565897056
cc50_tw50,531.6688002456905,0.297244239495285,0,337.3039842691458,470.6823239978077,787.0200924701179
cc50_cat0.10,531.7399829443833,0.3684269381881222,0,337.3039842691458,470.9074593479267,787.0085052160774
w45_k2,531.8720702749164,0.5005142687211522,2,335.855199910537,472.81867335906605,786.9423375551459
cc50_k2,532.3382771977368,0.9667211915417132,1,337.3039842691458,472.81867335906605,786.892173964999
cc50_k5,533.656989399095,2.2854333928997526,0,337.3039842691458,476.7004268325616,786.9665570955776
cc50_k7,537.1929677936838,5.821411787488614,0,337.3039842691458,487.2530898429911,787.0218292689146
