name,delta_mean,wins,t_rmse
fr_only_ic50_w35,-1.835765766729234,3,328.0671714027882
mordred_ic50_w35,-1.71589729788415,3,328.4267768093233
morgan_ic50_w35,-1.6219195339691244,3,328.70871010106856
fr_only_ic50_w25,-1.5814537816014156,3,328.83010735817174
morgan_ic50_w25,-1.353984936115997,3,329.5125138946278
mordred_ic50_w25,-1.3210150069533029,3,329.6114236821159
fr_only_ic50_w15,-1.1095581140392596,3,330.2457943608581
morgan_ic50_w15,-0.9287299500216856,3,330.7882788529108
mordred_ic50_w15,-0.8493358971316335,3,331.02646101158103
mordred_si_w35,-0.814864465375687,3,784.703266506178
mordred_si_w25,-0.588031271072623,3,785.3837660890871
morgan_si_w35,-0.5771814351779767,3,785.4163155967711
morgan_si_w25,-0.4149933015835738,3,785.9028799975545
mordred_si_w15,-0.3564035358526401,3,786.0786492947469
fr_only_si_w35,-0.3127551305668324,3,786.2095945106045
morgan_si_w15,-0.25062646586764004,3,786.395980504702
fr_only_si_w25,-0.22615656090708094,3,786.4693902195837
fr_only_si_w15,-0.13734886824893996,3,786.7358132975583
mordred_cc50_w15,0.1779968902087982,1,470.36482083942764
morgan_cc50_w15,0.42157180626115104,0,471.09554558758464
fr_only_cc50_w15,0.4556977613648314,0,471.19792345289574
mordred_cc50_w25,0.6231013021173339,0,471.70013407515313
mordred_cc50_w35,1.3269608841127745,0,473.8117128211395
morgan_cc50_w25,1.3899885411960138,0,474.0007957923893
fr_only_cc50_w25,1.7068961637850937,0,474.9515186601566
morgan_cc50_w35,2.8973939254505012,0,478.52301194515286
fr_only_cc50_w35,3.696885714728334,0,480.92148731298624
