name,s42,s2024,s7,mean_d,wins,ic50,cc50,si
ic50_0.65_fr42,525.0542988406411,528.7925575306022,530.251321054258,-0.31589468279772365,2,322.89411985426335,464.4606349087003,787.8081417589598
ic50_0.60_fr42,525.0355650464948,528.9537041484003,530.4772963898857,-0.1930986297045365,2,322.8700385182849,464.4606349087003,787.7760217124991
cc0.30_fr42,525.0704312442191,529.016971804702,530.6287741699598,-0.10989475167116325,2,322.9135833329568,464.5545735360667,787.743136863634
cc0.28_fr42,525.0448823871114,529.052094265158,530.6554941124335,-0.09779690306383297,2,322.9135833329568,464.479440984378,787.7416228439994
ic50_0.55_fr42,525.037860163096,529.1380378726692,530.7267807745226,-0.0477275545355648,2,322.9135833329568,464.4606349087003,787.7393622476307
cc0.25_fr42,525.037860163096,529.1380378726692,530.7267807745226,-0.0477275545355648,2,322.9135833329568,464.4606349087003,787.7393622476307
fr_w42,525.037860163096,529.1380378726692,530.7267807745226,-0.0477275545355648,2,322.9135833329568,464.4606349087003,787.7393622476307
fr_w40,524.9824069701052,529.1525363665704,530.7757429654164,-0.045058390600805374,2,322.7472237539848,464.4606349087003,787.7393622476307
fr_w45,525.1383237562944,529.132631739263,530.6690711364121,-0.03527828064162956,2,323.2149741125523,464.4606349087003,787.7393622476307
fr_w38,524.9361887885774,529.17574671229,530.8330835303585,-0.033614147556174125,2,322.60856920940137,464.4606349087003,787.7393622476307
fr_w35,524.884202571922,529.226884486781,530.9347744151914,0.0,0,322.45261055943485,464.4606349087003,787.7393622476307
fr_w50,525.3517028653403,529.1671997936248,530.6149129008953,0.02931802865532518,2,323.85511143968984,464.4606349087003,787.7393622476307
cc0.22_fr42,525.0684012432349,529.2638322441953,530.8354680908836,0.040613368139815975,1,322.9135833329568,464.5545062256899,787.7371141710581
fr_w32,524.8530515734493,529.2975842509254,531.0552339265481,0.053336092342798715,0,322.35915756401687,464.4606349087003,787.7393622476307
fr_w30,524.8438688103589,529.3555672576371,531.1459370509557,0.09983721501907894,0,322.3316092747457,464.4606349087003,787.7393622476307
ic50_0.50_fr42,525.0607320219915,529.345302414722,530.998326994811,0.11949998587670052,0,323.0247269495856,464.4606349087003,787.6968342076888
cc0.20_fr42,525.1096203493958,529.3697879987513,530.9286673324506,0.12073806890108092,0,322.9135833329568,464.6796553063921,787.7356224088383
fr_w28,524.8439568246109,529.4222146449785,531.2449337547488,0.155081250147911,0,322.33187331750185,464.4606349087003,787.7393622476307
cc0.18_fr42,525.1675112286852,529.4933768204427,531.0384259541089,0.21781750978076767,0,322.9135833329568,464.85481414204736,787.7341362110514
fr_w25,524.8614708475935,529.5383969777046,531.4089296039798,0.2543119851278182,0,322.3844153864498,464.4606349087003,787.7393622476307
ic50_0.45_fr42,525.1035567100921,529.5749687720107,531.2907386771602,0.3078008951228715,0,323.20339963028005,464.4606349087003,787.646635591296
