name,seed,oof,delta,si_rmse,ic50_rmse,cc50_rmse
si_a28,42,525.3499559268884,0.2956570862472745,788.6951130177015,322.89411985426335,464.4606349087003
si_a28,2024,529.1372311915161,0.3446736609139407,787.8607575703408,332.9790432015475,466.5718928026599
si_a28,7,530.577892306497,0.32657125223897765,787.9582265683107,325.3154875561368,478.45996279504357
si_a30,42,525.2646302157373,0.21033137509618882,788.439135884248,322.89411985426335,464.4606349087003
si_a30,2024,529.0377406320575,0.2451831014553818,787.5622858919651,332.9790432015475,466.5718928026599
si_a30,7,530.4836949004572,0.23237384619915247,787.6756343501913,325.3154875561368,478.45996279504357
si_a32,42,525.1799859817789,0.12568714113785973,788.1852031823731,322.89411985426335,464.4606349087003
si_a32,2024,528.9390595127406,0.14650198213848853,787.2662425340146,332.9790432015475,466.5718928026599
si_a32,7,530.3902101809895,0.13888912673144205,787.395180191788,325.3154875561368,478.45996279504357
si_a33,42,525.1379196248193,0.08362078417826524,788.0590041114941,322.89411985426335,464.4606349087003
si_a33,2024,528.8900227788391,0.097465248236972,787.11913233231,332.9790432015475,466.5718928026599
si_a33,7,530.3437353169682,0.09241426271012187,787.2557555997241,325.3154875561368,478.45996279504357
si_a35,42,525.0542988406411,0.0,787.8081417589598,322.89411985426335,464.4606349087003
si_a35,2024,528.7925575306022,0.0,786.8267365875992,332.9790432015475,466.5718928026599
si_a35,7,530.251321054258,0.0,786.9785128115939,325.3154875561368,478.45996279504357
si_a37,42,524.9713611724488,-0.08293766819224402,787.559328754383,322.89411985426335,464.4606349087003
si_a37,2024,528.69590399469,-0.09665353591219628,786.5367759798626,332.9790432015475,466.5718928026599
si_a37,7,530.1596213737298,-0.09169968052822242,786.703413770009,325.3154875561368,478.45996279504357
si_a40,42,524.8482369281344,-0.2060619125066978,787.1899560214395,322.89411985426335,464.4606349087003
si_a40,2024,528.5524476142167,-0.24010991638544965,786.1064068384425,332.9790432015475,466.5718928026599
si_a40,7,530.0234133336149,-0.2279077206430884,786.2947896496646,325.3154875561368,478.45996279504357
si_a42,42,524.7670098734666,-0.28728896717450425,786.946274857436,322.89411985426335,464.4606349087003
si_a42,2024,528.4578272744352,-0.3347302561669494,785.8225458190982,332.9790432015475,466.5718928026599
si_a42,7,529.9335033788099,-0.3178176754481683,786.0250597852493,325.3154875561368,478.45996279504357
si_a45,42,524.6464545444741,-0.40784429616701345,786.5846088704583,322.89411985426335,464.4606349087003
si_a45,2024,528.317424841495,-0.47513268910711304,785.4013385202777,332.9790432015475,466.5718928026599
si_a45,7,529.7999833990358,-0.45133765522223257,785.6244998459271,325.3154875561368,478.45996279504357
si_rw15,42,524.8350741232626,-0.21922471737843807,787.1504676068241,322.89411985426335,464.4606349087003
si_rw15,2024,528.550264247855,-0.24229328274714135,786.0998567393575,332.9790432015475,466.5718928026599
si_rw15,7,530.0133667301521,-0.23795432410588546,786.264649839276,325.3154875561368,478.45996279504357
si_rw20,42,524.9073783529242,-0.1469204877168977,787.3673802958089,322.89411985426335,464.4606349087003
si_rw20,2024,528.6300570755244,-0.16250045507774757,786.339235222366,332.9790432015475,466.5718928026599
si_rw20,7,530.0919331951512,-0.15938785910680053,786.5003492342731,325.3154875561368,478.45996279504357
si_rw25,42,524.9804534732348,-0.07384536740630665,787.5866056567405,322.89411985426335,464.4606349087003
si_rw25,2024,528.7108218023919,-0.08173572821021935,786.5815294029686,332.9790432015475,466.5718928026599
si_rw25,7,530.171251530526,-0.08006952373204967,786.7383042403976,325.3154875561368,478.45996279504357
si_rw30,42,525.0542988406411,0.0,787.8081417589598,322.89411985426335,464.4606349087003
si_rw30,2024,528.7925575306022,0.0,786.8267365875992,332.9790432015475,466.5718928026599
si_rw30,7,530.251321054258,0.0,786.9785128115939,325.3154875561368,478.45996279504357
si_rw35,42,525.1289138055345,0.07461496489338515,788.0319866536397,322.89411985426335,464.4606349087003
si_rw35,2024,528.8752633526309,0.08270582202874266,787.0748540536852,332.9790432015475,466.5718928026599
si_rw35,7,530.3321410787062,0.08082002444814407,787.2209728849383,325.3154875561368,478.45996279504357
si_rw40,42,525.2042977122775,0.1499988716363987,788.2581383738689,322.89411985426335,464.4606349087003
si_rw40,2024,528.9589383513334,0.16638082073120586,787.3258790497927,332.9790432015475,466.5718928026599
si_rw40,7,530.4137109106344,0.16238985637642145,787.4656823807231,325.3154875561368,478.45996279504357
si_rw45,42,525.2804498992324,0.2261510585913129,788.4865949347336,322.89411985426335,464.4606349087003
si_rw45,2024,529.0435815999939,0.2510240693917467,787.5798087957742,332.9790432015475,466.5718928026599
si_rw45,7,530.4960298512411,0.24470879698310455,787.7126392025432,325.3154875561368,478.45996279504357
si_a32_rw25,42,525.1114807250892,0.05718188444814132,787.9796874123041,322.89411985426335,464.4606349087003
si_a32_rw25,2024,528.8631033573773,0.07054582677517374,787.0383740679245,332.9790432015475,466.5718928026599
si_a32_rw25,7,530.3160810204521,0.06475996619406033,787.1727927101757,325.3154875561368,478.45996279504357
si_a33_rw25,42,525.0676135575287,0.013314716887634859,787.8480859096227,322.89411985426335,464.4606349087003
si_a33_rw25,2024,528.8121143262238,0.019556795621610945,786.8854069744638,332.9790432015475,466.5718928026599
si_a33_rw25,7,530.2676066427101,0.01628558845209227,787.0273695769498,325.3154875561368,478.45996279504357
si_a37_rw35,42,525.0495234295952,-0.004775411045898181,787.7938155258219,322.89411985426335,464.4606349087003
si_a37_rw35,2024,528.782448910908,-0.0101086196941651,786.7964107285167,332.9790432015475,466.5718928026599
si_a37_rw35,7,530.2443935393866,-0.006927514871449603,786.9577302669792,325.3154875561368,478.45996279504357
si_a40_rw30,42,524.8482369281344,-0.2060619125066978,787.1899560214395,322.89411985426335,464.4606349087003
si_a40_rw30,2024,528.5524476142167,-0.24010991638544965,786.1064068384425,332.9790432015475,466.5718928026599
si_a40_rw30,7,530.0234133336149,-0.2279077206430884,786.2947896496646,325.3154875561368,478.45996279504357
si_cb_k60_w25,42,525.0741220965392,0.01982325589813172,787.8676115266541,322.89411985426335,464.4606349087003
si_cb_k60_w25,2024,528.8217878819653,0.02923035136313956,786.9144276416885,332.9790432015475,466.5718928026599
si_cb_k60_w25,7,530.3032712153306,0.051950161072568335,787.1343632948115,325.3154875561368,478.45996279504357
si_cb_k60_w35,42,525.0822523193282,0.027953478687095412,787.8920021950207,322.89411985426335,464.4606349087003
si_cb_k60_w35,2024,528.8340092170552,0.04145168645300146,786.9510916469582,332.9790432015475,466.5718928026599
si_cb_k60_w35,7,530.3243395051859,0.07301845092786152,787.1975681643775,325.3154875561368,478.45996279504357
si_cb_k60_w45,42,525.0904973378823,0.03619849724123014,787.9167372506834,322.89411985426335,464.4606349087003
si_cb_k60_w45,2024,528.8465328862202,0.05397535561803579,786.988662654453,332.9790432015475,466.5718928026599
si_cb_k60_w45,7,530.3455724359565,0.0942513816984274,787.2612669566889,325.3154875561368,478.45996279504357
si_cb_k90_w25,42,525.0797809049433,0.025482064302195795,787.884587951866,322.89411985426335,464.4606349087003
si_cb_k90_w25,2024,528.8346685974169,0.04211106681475485,786.9530697880431,332.9790432015475,466.5718928026599
si_cb_k90_w25,7,530.286330856798,0.035009802540002966,787.0835422192137,325.3154875561368,478.45996279504357
si_cb_k90_w35,42,525.0901269433123,0.0358281026711893,787.9156260669731,322.89411985426335,464.4606349087003
si_cb_k90_w35,2024,528.8519169867435,0.059359456141351075,787.004814956023,332.9790432015475,466.5718928026599
si_cb_k90_w35,7,530.3005857906425,0.04926473638442985,787.1263070207472,325.3154875561368,478.45996279504357
si_cb_k90_w45,42,525.100560516296,0.04626167565493233,787.9469267859243,322.89411985426335,464.4606349087003
si_cb_k90_w45,2024,528.8693961438912,0.0768386132890555,787.0572524274662,332.9790432015475,466.5718928026599
si_cb_k90_w45,7,530.3149841254552,0.0636630711971975,787.1695020251855,325.3154875561368,478.45996279504357
si_cb_k120_w25,42,525.0875615443997,0.0332627037586235,787.9079298702353,322.89411985426335,464.4606349087003
si_cb_k120_w25,2024,528.8430156377373,0.050458107135114005,786.9781109090044,332.9790432015475,466.5718928026599
si_cb_k120_w25,7,530.2834330049554,0.032111950697412794,787.0748486636861,325.3154875561368,478.45996279504357
si_cb_k120_w35,42,525.1010671465489,0.04676830590778991,787.9484466766831,322.89411985426335,464.4606349087003
si_cb_k120_w35,2024,528.86347709552,0.07091956491785822,787.0394952823527,332.9790432015475,466.5718928026599
si_cb_k120_w35,7,530.2965206333392,0.045199579081213415,787.1141115488374,325.3154875561368,478.45996279504357
si_cb_k120_w45,42,525.1146873054963,0.060388464855236634,787.9893071535254,322.89411985426335,464.4606349087003
si_cb_k120_w45,2024,528.8840974776313,0.09153994702910495,787.1013564286864,332.9790432015475,466.5718928026599
si_cb_k120_w45,7,530.3097470010443,0.05842594678631485,787.1537906519527,325.3154875561368,478.45996279504357
