name,oof_mean,delta_mean,wins,ic50,cc50,si
morgan_w15,526.8522178600361,-0.09165523641786422,1,323.5213596919231,469.83083016880124,787.2044637193843
morgan_w20,526.8737034996698,-0.07016959678431552,1,323.58581661082377,469.83083016880124,787.2044637193843
fr_w45,526.9142357033655,-0.029637393088554138,1,323.707413221911,469.83083016880124,787.2044637193843
ic65_70,526.9152731925045,-0.02859990394953608,1,323.68627916208146,469.83083016880124,787.2287102466311
morgan_w25,526.9211992716151,-0.02267382483887559,1,323.7283039266602,469.83083016880124,787.2044637193843
fr_w44,526.9236650421741,-0.02020805427995735,0,323.7357012383368,469.83083016880124,787.2044637193843
ic65_68,526.926128340015,-0.017744756439090754,0,323.728517837457,469.83083016880124,787.2190370137868
ic65_62,526.9631553863316,0.019282289877423864,0,323.86946934047506,469.83083016880124,787.1891666497185
fr_w40,526.9658795036631,0.022006407209005374,0,323.8623446228037,469.83083016880124,787.2044637193843
fr_w38,526.9896832068126,0.045810110358578036,0,323.9337557322526,469.83083016880124,787.2044637193843
morgan_w30,526.9946719984537,0.05079890199961786,1,323.9487221071756,469.83083016880124,787.2044637193843
