name,weight,seed,oof,delta,ic50,cc50,si
lgb_ic10,0.1,42,523.493032377539,0.09493206481022298,318.210320464957,464.4606349087003,787.8081417589598
lgb_ic12,0.12,42,523.5231463298861,0.12504601715738772,318.30066232199835,464.4606349087003,787.8081417589598
lgb_ic15,0.15,42,523.5752587681196,0.17715845539089514,318.45699963669904,464.4606349087003,787.8081417589598
lgb_ic18,0.18,42,523.635689974291,0.23758966156231054,318.6382932552131,464.4606349087003,787.8081417589598
lgb_ic20,0.2,42,523.6805920542158,0.28249174148709244,318.7729994949874,464.4606349087003,787.8081417589598
lgb_ic22,0.22,42,523.7291804199576,0.3310801072288996,318.91876459221277,464.4606349087003,787.8081417589598
lgb_ic25,0.25,42,523.8089636011315,0.41086328840276565,319.1581141357347,464.4606349087003,787.8081417589598
lgb_ic28,0.28,42,523.8970108517594,0.49891053903070315,319.42225588761823,464.4606349087003,787.8081417589598
lgb_ic30,0.3,42,523.9602901294644,0.5621898167356676,319.6120937207334,464.4606349087003,787.8081417589598
