name,oof_mean,delta_mean,min_delta,ic50,cc50,si
cc50_blend_w72,523.5885010459061,-0.015608680262630514,-0.015608680262630514,323.72356739159164,459.2096186402793,787.8323171058473
cc50_blend_w75,523.5986867269966,-0.005422999172196796,-0.005422999172196796,323.72356739159164,459.2394516707747,787.8330411186234
cc50_cat_w25,523.6041097261688,0.0,0.0,323.72356739159164,459.25692092518966,787.8318408617249
ref_blend_w70,523.6041097261688,0.0,0.0,323.72356739159164,459.25692092518966,787.8318408617249
cc50_blend_w78,523.6491815098105,0.04507178364178799,0.04507178364178799,323.72356739159164,459.39020043055757,787.8337767072824
cc50_blend_w80,523.7052203658355,0.10111063966678557,0.10111063966678557,323.72356739159164,459.5578201751634,787.8342735307515
cc50_cat_w20,523.7907749767302,0.18666525056141836,0.18666525056141836,323.72356739159164,459.81836914646465,787.8303883921342
cc50_w75_cat_w20,523.8844028527964,0.28029312662761185,0.28029312662761185,323.72356739159164,460.0979410955245,787.831700071273
cc50_cat_w10,524.5641780132435,0.960068287074705,0.960068287074705,323.72356739159164,462.14135660737645,787.8276100407622
cc50_cat_w0,525.8637924891219,2.2596827629531617,2.2596827629531617,323.72356739159164,466.0428096011617,787.8250004746125
cc50_w75_cat_w0,526.4686570104595,2.8645472842907793,2.8645472842907793,323.72356739159164,467.85560654029865,787.8267970994884
